epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,463,1058.0043196544273,192,4236,1,0,54623,4.20656e-06,0,0,5.839995999999999,5.839918999999999,8561.762586090665
1,train,250000,2246,1107.8682101513773,124,3536,0.7506259975,250000,327105,59.9994,165.01141203097566,62500,670.397878,664.521261,376.21068680901095
1,test,125000,790,1729.762025316456,204,5420,0.0,250000,460004,60.051,0,62500,840.529844,169.93870000000004,735.5593516956407
2,train,250000,2091,1218.773792443807,176,4892,0.5012509975,500000,730923,115.468,95.609582019469215,125000,1580.793097,740.2616610000001,337.7184219729569
2,test,125000,671,2189.2637853949354,124,7060,0.0,500000,862631,116.815,0,125000,1750.748711,169.6095170000001,736.9869463162255
3,train,250000,1832,1472.5131004366806,156,5252,0.2518759974999999,750000,1000000,190.269,97.027718336782229,187500,2568.289813,817.5395530000001,305.7956022832329
3,test,125000,748,1925.556149732621,316,5604,0.0,750000,1000000,192.836,0,187500,2738.0206359999997,169.45837699999993,737.6442652935361
4,train,250000,1589,1772.5135305223428,212,6364,0.0025009974999999907,1000000,1000000,270.311,107.8519326199342,250000,3631.9831599999998,893.9609089999999,279.6542863151078
4,test,125000,484,3261.3801652892557,428,10512,0.0,1000000,1000000,274.598,0,250000,3802.062722,169.8322360000002,736.0204572705494
5,train,250000,1332,2237.201201201196,132,7424,0.0025,1250000,1000000,309.72,124.72311611231783,312500,4735.322708000001,933.2584060000004,267.8786479636594
5,test,125000,663,2263.565610859727,312,6688,0.0,1250000,1000000,302.573,0,312500,4905.112419,169.44487799999933,737.7030304805112
6,train,250000,1363,2157.781364636829,228,7332,0.0025,1500000,1000000,441.433,141.07910898378327,375000,5836.8216840000005,931.7076870000001,268.32450079377736
6,test,125000,536,2942.86567164179,424,9700,0.0,1500000,1000000,444.565,0,375000,6006.408227,169.42157599999973,737.8044930947885
7,train,250000,1228,2480.938110749184,232,8028,0.0025,1750000,1000000,459.333,145.76214003157395,437500,6935.951151,929.5413529999996,268.94984197653025
7,test,125000,552,2869.5652173913045,328,9688,0.0,1750000,1000000,461.283,0,437500,7104.963951000001,168.7710390000002,740.6483999899998
8,train,250000,1046,3059.7437858508574,224,11440,0.0025,2000000,1000000,557.546,156.8287184465338,500000,8036.287843,931.3223099999996,268.4355322702407
8,test,125000,394,4312.467005076143,568,15136,0.0,2000000,1000000,565.8,0,500000,8205.657616,169.18863799999963,738.8202983228713
9,train,250000,1048,3049.1908396946587,232,10368,0.0025,2250000,1000000,659.2,162.17512791225133,562500,9133.962223,928.3030080000008,269.3086178171684
